s#	sname	sex	bdate	height	dorm
09064450	舒孝琰	女	2002-05-03 14:33:22	1.6	北6舍833
02057948	寿忠澜	女	2000-09-28 15:58:03	1.9	南15舍239
05055012	尹凯薇	女	2002-01-13 11:09:15	1.41	西1舍531
07062013	蔡礼全	男	2003-02-23 06:24:10	1.41	北2舍516
09012104	公西仪	女	2002-05-10 10:19:20	1.6	南14舍318
09091120	危茜	女	2004-11-04 19:06:15	1.53	东15舍838
02091426	古中	男	2003-04-16 07:52:23	1.65	北20舍528
07063402	庄上云	女	2003-09-26 18:56:56	1.66	南13舍539
08055924	云器军	男	2004-11-19 16:53:10	1.95	北11舍516
04074211	江好薇	女	2001-10-14 16:17:20	1.64	北21舍915
09025023	崔贝瑶	女	2004-02-23 10:25:43	1.63	西13舍612
04091963	詹马寒	女	2003-03-25 22:37:30	1.99	北1舍315
09088890	通中博	男	2002-02-04 22:39:41	1.5	北14舍226
08053423	吉金梅	女	2001-03-23 08:49:28	1.96	北16舍725
09031654	尹冠	男	2000-05-27 08:25:22	1.85	南6舍715
04095916	彭中榕	男	2003-12-05 15:58:48	1.77	东2舍128
08029159	焦贝凡	女	2003-01-21 19:31:45	1.53	南12舍701
06074818	山彪	男	2002-04-14 16:21:25	1.75	西6舍103
09085676	陈贞	女	2003-03-20 16:34:30	1.85	西10舍502
09024168	方凯良	男	2001-05-04 20:15:34	1.61	北6舍217
09061436	吉电玲	女	2004-12-22 02:00:08	1.59	东4舍835
09006013	奚钰河	男	2002-04-06 01:10:03	1.75	西15舍919
08076070	夏克	男	2004-11-22 01:30:33	1.76	北12舍206
05010649	黎信园	女	2001-05-02 00:36:21	1.42	北19舍934
09041441	平加泽	男	2001-04-25 22:59:55	1.54	西25舍318
05074093	宗上超	男	2000-06-17 20:36:20	1.99	西4舍836
08025037	都被涛	男	2000-11-17 17:13:42	1.58	东19舍133
07056483	葛闻寒	女	2003-07-29 22:19:39	1.5	东23舍633
05088746	沈信丹	女	2002-11-18 00:43:11	1.76	东4舍125
07002534	伊无冰	女	2001-12-12 22:59:48	1.79	西16舍109
08099197	施电生	男	2003-08-13 07:55:38	1.89	东14舍514
05069380	陶成	男	2004-05-22 13:33:53	1.79	西1舍622
09054860	李智茗	女	2004-03-24 18:35:39	1.84	南14舍528
09015621	包信莺	女	2000-10-20 11:10:29	1.43	北25舍539
07003668	孔融	女	2004-09-24 01:17:23	1.4	西15舍101
08025328	冀钰心	男	2000-12-04 16:17:09	1.41	西1舍434
09033293	黄荷	女	2001-08-03 16:15:36	1.81	北13舍435
08056887	卢九利	男	2004-05-05 07:41:26	1.87	东3舍407
05000897	微生义元	男	2003-03-03 03:58:22	1.48	南24舍532
02058815	云礼毓	女	2004-12-29 13:59:29	1.71	南11舍334
08081094	臧芸	女	2003-07-24 17:41:17	1.65	北18舍534
04007521	冯玉红	女	2004-07-09 10:32:49	1.49	南16舍222
06040271	冉艳	女	2004-07-25 18:08:18	1.58	北25舍635
02024769	孔浩	男	2001-04-10 12:58:18	1.52	南17舍828
